time,day,hour,dpdx[Pa/km],dpdy[Pa/km],u0[m/s],v0[m/s],dpdx_m[Pa/km],u0_m[m/s],v0_m[m/s]
0,0,0,-0.81743,0.42456,-9.0393,-7.5849,,,
1,0,1,0.52544,0.11659,-7.5072,-6.2993,,,
2,0,2,0.23345,0.65774,-8.2733,-6.9421,,,
3,0,3,-0.87598,1.6234,-7.5072,-6.2993,,,
4,0,4,0.93415,-0.09569,-8.2733,-6.9421,,,
5,0,5,1.5763,0.34977,-7.1014,-4.1,,,
6,0,6,2.4523,-1.2737,-7.1014,-4.1,,,
7,0,7,1.2261,-0.63684,-7.1014,-4.1,,,
8,0,8,1.1676,0.56205,-7.583,-1.3371,,,
9,0,9,0.64216,0.44546,-6.5982,1.1634,,,
10,0,10,0.40872,-0.21228,-6.2354,3.6,,,
11,0,11,0.52544,0.11659,-2.55,4.4167,,,
12,0,12,1.2843,0.89092,-1.4023,3.8527,,,
13,0,13,0.11672,0.32887,-0.79878,4.5301,,,
14,0,14,1.0509,0.23318,0.88561,5.0225,,,
15,0,15,0.11672,0.32887,2.7578,2.314,,,
16,0,16,-0.70071,0.75343,2.6847,-1.55,,,
17,0,17,-1.2261,0.63684,1.9926,-2.3747,,,
18,0,18,-0.81743,0.42456,1.4023,-3.8527,,,
19,0,19,-0.29199,0.54115,1.4023,-3.8527,,,
20,0,20,-0.81743,0.42456,0.62513,-3.5453,,,
21,0,21,-0.11672,-0.32887,-1.3,-2.2517,,,
22,0,22,0,0,-3.1177,-1.8,,,
23,0,23,-0.11672,-0.32887,-5.1,0,,,
24,1,0,0.17527,-0.87002,-5.3562,1.9495,-0.32108,-7.1978,-2.8177
25,1,1,0.17527,-0.87002,-5.6134,0.98979,0.35035,-6.5603,-2.6548
26,1,2,0.29199,-0.54115,-4.7924,1.7443,0.26272,-6.5329,-2.5989
27,1,3,2.277,-0.40365,-5.3562,1.9495,0.70052,-6.4317,-2.1749
28,1,4,1.8683,-0.19138,-5.8261,2.1205,1.4012,-7.0497,-2.4108
29,1,5,-0.11672,-0.32887,-4.7495,3.9853,0.7298,-5.9254,-0.057358
30,1,6,-0.81743,0.42456,-2.6354,3.1408,0.81743,-4.8684,-0.47961
31,1,7,-0.52544,-0.11659,-1.4023,3.8527,0.35035,-4.2518,-0.12363
32,1,8,0.75888,0.77433,1.8,3.1177,0.96324,-2.8915,0.8903
33,1,9,-0.70071,0.75343,0.71824,1.9734,-0.029273,-2.94,1.5684
34,1,10,-0.87598,1.6234,1.55,2.6847,-0.23363,-2.3427,3.1423
35,1,11,-0.9927,1.2946,1.9917,1.6712,-0.23363,-0.27914,3.044
36,1,12,-1.8101,1.7191,4.0377,0.71196,-0.2629,1.3177,2.2823
37,1,13,-2.861,1.486,6.2959,-2.2915,-1.3721,2.7486,1.1193
38,1,14,-1.8683,0.19138,1.8,-3.1177,-0.40872,1.3428,0.95241
39,1,15,-2.1018,-0.46636,2.85,-4.9363,-0.99252,2.8039,-1.3112
40,1,16,-0.52544,-0.11659,2.1205,-5.8261,-0.61307,2.4026,-3.688
41,1,17,-0.35017,-0.98661,2.4625,-6.7658,-0.78816,2.2276,-4.5703
42,1,18,-1.1091,-1.7609,2.1205,-5.8261,-0.96324,1.7614,-4.8394
43,1,19,-0.11672,-0.32887,2.55,-4.4167,-0.20436,1.9761,-4.1347
44,1,20,-0.11672,-0.32887,0.88561,-5.0225,-0.46708,0.75537,-4.2839
45,1,21,-1.3429,0.30797,-0.79878,-4.5301,-0.7298,-1.0494,-3.3909
46,1,22,-0.11672,-0.32887,0,-4.1,-0.058361,-1.5588,-2.95
47,1,23,-4.2621,0.26616,1.3,2.2517,-2.1894,-1.9,1.1258
